,line_id,tag_type,country,length,voltage,circuits,tag_frequency,bus0,bus1,underground,under_construction,dc,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
51,-1704959333_0,line,BO,5537.532804099709,115000,3.0,50.0,50,10,False,False,False,"LINESTRING (-66.1146 -17.3805, -66.114585 -17.380501, -66.116327 -17.427939, -66.1168 -17.4282)","MULTIPOINT ((-66.1146 -17.3805), (-66.1168 -17.4282))",POINT (-66.1146 -17.3805),POINT (-66.1168 -17.4282),-66.1146,-17.3805,-66.1168,-17.4282
52,-444590878_0,line,BO,59573.52829531688,115000,3.0,50.0,51,55,False,False,False,"LINESTRING (-67.5606 -15.8445, -67.560632 -15.844503, -67.834986 -16.28604, -67.835 -16.286)","MULTIPOINT ((-67.5606 -15.8445), (-67.835 -16.286))",POINT (-67.5606 -15.8445),POINT (-67.835 -16.286),-67.5606,-15.8445,-67.835,-16.286
53,-885807357_0,line,BO,45674.919901624766,115000,3.0,50.0,52,83,False,False,False,"LINESTRING (-67.0365 -17.7139, -67.036498 -17.713892, -67.276237 -17.396421, -67.2762 -17.3964)","MULTIPOINT ((-67.0365 -17.7139), (-67.2762 -17.3964))",POINT (-67.0365 -17.7139),POINT (-67.2762 -17.3964),-67.0365,-17.7139,-67.2762,-17.3964
54,1686888444_0,line,BO,29911.67110935778,115000,3.0,50.0,52,25,False,False,False,"LINESTRING (-67.0365 -17.7139, -67.036498 -17.713892, -67.044731 -17.96955, -67.0447 -17.9696)","MULTIPOINT ((-67.0365 -17.7139), (-67.0447 -17.9696))",POINT (-67.0365 -17.7139),POINT (-67.0447 -17.9696),-67.0365,-17.7139,-67.0447,-17.9696
55,-1559876706_0,line,BO,98875.32064173695,115000,3.0,50.0,53,60,False,False,False,"LINESTRING (-66.5758 -18.4107, -66.575829 -18.410663, -65.837719 -18.878811, -65.8377 -18.8788)","MULTIPOINT ((-66.5758 -18.4107), (-65.8377 -18.8788))",POINT (-66.5758 -18.4107),POINT (-65.8377 -18.8788),-66.5758,-18.4107,-65.8377,-18.8788
56,-1610587687_0,line,BO,45160.4769290958,115000,3.0,50.0,53,84,False,False,False,"LINESTRING (-66.5758 -18.4107, -66.575829 -18.410663, -66.389803 -18.068259, -66.3898 -18.0683)","MULTIPOINT ((-66.5758 -18.4107), (-66.3898 -18.0683))",POINT (-66.5758 -18.4107),POINT (-66.3898 -18.0683),-66.5758,-18.4107,-66.3898,-18.0683
57,1064099230_0,line,BO,31151.694714153,115000,3.0,50.0,54,53,False,False,False,"LINESTRING (-66.8183 -18.2781, -66.818309 -18.278069, -66.575829 -18.410663, -66.5758 -18.4107)","MULTIPOINT ((-66.8183 -18.2781), (-66.5758 -18.4107))",POINT (-66.8183 -18.2781),POINT (-66.5758 -18.4107),-66.8183,-18.2781,-66.5758,-18.4107
58,1622358979_0,line,BO,34213.41800875266,115000,3.0,50.0,55,29,False,False,False,"LINESTRING (-67.835 -16.286, -67.834986 -16.28604, -68.118223 -16.400539, -68.1182 -16.4005)","MULTIPOINT ((-67.835 -16.286), (-68.1182 -16.4005))",POINT (-67.835 -16.286),POINT (-68.1182 -16.4005),-67.835,-16.286,-68.1182,-16.4005
59,95418176_0,line,BO,27499.573417247073,115000,3.0,50.0,56,50,False,False,False,"LINESTRING (-65.9485 -17.2059, -65.948465 -17.205929, -66.114585 -17.380501, -66.1146 -17.3805)","MULTIPOINT ((-65.9485 -17.2059), (-66.1146 -17.3805))",POINT (-65.9485 -17.2059),POINT (-66.1146 -17.3805),-65.9485,-17.2059,-66.1146,-17.3805
60,-1658871680_0,line,BO,14065.9127168603,115000,3.0,50.0,56,63,False,False,False,"LINESTRING (-65.9485 -17.2059, -65.948465 -17.205929, -65.822969 -17.191868, -65.823 -17.1919)","MULTIPOINT ((-65.9485 -17.2059), (-65.823 -17.1919))",POINT (-65.9485 -17.2059),POINT (-65.823 -17.1919),-65.9485,-17.2059,-65.823,-17.1919
61,-1016478854_0,line,BO,17996.349551764335,115000,3.0,50.0,57,18,False,False,False,"LINESTRING (-65.7074 -19.4833, -65.707404 -19.483256, -65.800775 -19.607625, -65.7998 -19.6066)","MULTIPOINT ((-65.7074 -19.4833), (-65.7998 -19.6066))",POINT (-65.7074 -19.4833),POINT (-65.7998 -19.6066),-65.7074,-19.4833,-65.7998,-19.6066
62,-1495835241_0,line,BO,51667.273248489684,115000,3.0,50.0,58,51,False,False,False,"LINESTRING (-67.9771 -16.0415, -67.977121 -16.041461, -67.560632 -15.844503, -67.5606 -15.8445)","MULTIPOINT ((-67.9771 -16.0415), (-67.5606 -15.8445))",POINT (-67.9771 -16.0415),POINT (-67.5606 -15.8445),-67.9771,-16.0415,-67.5606,-15.8445
63,-2011192660_0,line,BO,1400.9578177742635,115000,3.0,50.0,59,64,False,False,False,"LINESTRING (-68.1818 -16.566, -68.18184 -16.565951, -68.188169 -16.576377, -68.1882 -16.5764)","MULTIPOINT ((-68.1818 -16.566), (-68.1882 -16.5764))",POINT (-68.1818 -16.566),POINT (-68.1882 -16.5764),-68.1818,-16.566,-68.1882,-16.5764
