,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
89,89,71,115000,False,substation,False,transmission,0.0,-66.8363,-18.2819,BO,POINT (-66.8363 -18.2819),True
90,90,72,115000,False,substation,False,transmission,0.0,-67.5867,-14.4585,BO,POINT (-67.5867 -14.4585),True
91,91,73,69000,False,substation,False,transmission,0.0,-65.4739,-19.3463,BO,POINT (-65.4739 -19.3463),True
92,92,74,69000,False,substation,False,transmission,0.0,-66.1015,-21.4089,BO,POINT (-66.1015 -21.4089),True
93,93,75,69000,False,substation,False,transmission,0.0,-65.5978,-22.0711,BO,POINT (-65.5978 -22.0711),True
94,94,76,115000,False,substation,False,transmission,0.0,-67.764,-16.4008,BO,POINT (-67.764 -16.4008),True
95,95,77,115000,False,substation,False,transmission,0.0,-67.8801,-15.504,BO,POINT (-67.8801 -15.504),True
96,96,78,115000,False,substation,False,transmission,0.0,-64.3097,-22.7078,BO,POINT (-64.3097 -22.7078),True
97,97,79,230000,False,substation,False,transmission,0.0,-63.5417,-17.3896,BO,POINT (-63.5417 -17.3896),True
98,98,80,230000,False,substation,False,transmission,0.0,-68.3598,-16.6461,BO,POINT (-68.3598 -16.6461),True
99,99,81,115000,False,substation,False,transmission,0.0,-63.5197,-19.9787,BO,POINT (-63.5197 -19.9787),True
100,100,82,230000,False,substation,False,transmission,0.0,-67.2107,-21.127,BO,POINT (-67.2107 -21.127),True
